time,count,mean,std,min,25%,50%,75%,max
1,16.0,0.0625,0.25,0.0,0.0,0.0,0.0,1.0
2,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,24.0,0.08333333333333333,0.2823298512866399,0.0,0.0,0.0,0.0,1.0
4,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,17.0,0.058823529411764705,0.24253562503633302,0.0,0.0,0.0,0.0,1.0
6,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,13.0,0.07692307692307693,0.27735009811261463,0.0,0.0,0.0,0.0,1.0
9,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,17.0,0.11764705882352941,0.3321055820775357,0.0,0.0,0.0,0.0,1.0
14,10.0,0.1,0.31622776601683794,0.0,0.0,0.0,0.0,1.0
15,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,11.0,0.09090909090909091,0.30151134457776363,0.0,0.0,0.0,0.0,1.0
18,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,5.0,0.2,0.44721359549995804,0.0,0.0,0.0,0.0,1.0
22,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,8.0,0.125,0.3535533905932738,0.0,0.0,0.0,0.0,1.0
41,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
43,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
46,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
48,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
55,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
59,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
63,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
70,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
72,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
79,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
