time,count,mean,std,min,25%,50%,75%,max
1,16.0,0.25,0.4472135954999579,0.0,0.0,0.0,0.25,1.0
2,21.0,0.38095238095238093,0.4976133515281192,0.0,0.0,0.0,1.0,1.0
3,24.0,0.4166666666666667,0.5036101551853348,0.0,0.0,0.0,1.0,1.0
4,11.0,0.2727272727272727,0.46709936649691375,0.0,0.0,0.0,0.5,1.0
5,17.0,0.35294117647058826,0.492592183071889,0.0,0.0,0.0,1.0,1.0
6,14.0,0.2857142857142857,0.46880723093849547,0.0,0.0,0.0,0.75,1.0
7,9.0,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,1.0
8,13.0,0.3076923076923077,0.48038446141526137,0.0,0.0,0.0,1.0,1.0
9,6.0,0.5,0.5477225575051661,0.0,0.0,0.5,1.0,1.0
10,14.0,0.2857142857142857,0.4688072309384955,0.0,0.0,0.0,0.75,1.0
11,12.0,0.4166666666666667,0.5149286505444373,0.0,0.0,0.0,1.0,1.0
12,13.0,0.15384615384615385,0.37553380809940534,0.0,0.0,0.0,0.0,1.0
13,17.0,0.6470588235294118,0.492592183071889,0.0,0.0,1.0,1.0,1.0
14,10.0,0.4,0.5163977794943223,0.0,0.0,0.0,1.0,1.0
15,16.0,0.4375,0.51234753829798,0.0,0.0,0.0,1.0,1.0
16,8.0,0.25,0.4629100498862757,0.0,0.0,0.0,0.25,1.0
17,11.0,0.36363636363636365,0.504524979109513,0.0,0.0,0.0,1.0,1.0
18,9.0,0.5555555555555556,0.5270462766947299,0.0,0.0,1.0,1.0,1.0
19,14.0,0.5,0.5188745216627708,0.0,0.0,0.5,1.0,1.0
20,13.0,0.46153846153846156,0.5188745216627708,0.0,0.0,0.0,1.0,1.0
21,5.0,0.2,0.447213595499958,0.0,0.0,0.0,0.0,1.0
22,13.0,0.15384615384615385,0.3755338080994054,0.0,0.0,0.0,0.0,1.0
23,9.0,0.1111111111111111,0.3333333333333334,0.0,0.0,0.0,0.0,1.0
24,12.0,0.3333333333333333,0.492365963917331,0.0,0.0,0.0,1.0,1.0
25,9.0,0.4444444444444444,0.5270462766947299,0.0,0.0,0.0,1.0,1.0
26,6.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,1.0
27,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,7.0,0.2857142857142857,0.4879500364742666,0.0,0.0,0.0,0.5,1.0
29,6.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,1.0
30,10.0,0.5,0.5270462766947299,0.0,0.0,0.5,1.0,1.0
31,8.0,0.25,0.4629100498862757,0.0,0.0,0.0,0.25,1.0
32,7.0,0.5714285714285714,0.5345224838248488,0.0,0.0,1.0,1.0,1.0
33,8.0,0.625,0.5175491695067657,0.0,0.0,1.0,1.0,1.0
34,5.0,0.4,0.5477225575051662,0.0,0.0,0.0,1.0,1.0
35,11.0,0.6363636363636364,0.504524979109513,0.0,0.0,1.0,1.0,1.0
36,7.0,0.5714285714285714,0.5345224838248488,0.0,0.0,1.0,1.0,1.0
37,8.0,0.375,0.5175491695067657,0.0,0.0,0.0,1.0,1.0
38,8.0,0.25,0.4629100498862757,0.0,0.0,0.0,0.25,1.0
39,3.0,0.3333333333333333,0.5773502691896258,0.0,0.0,0.0,0.5,1.0
40,8.0,0.25,0.4629100498862757,0.0,0.0,0.0,0.25,1.0
41,7.0,0.42857142857142855,0.5345224838248487,0.0,0.0,0.0,1.0,1.0
42,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
43,4.0,0.25,0.5,0.0,0.0,0.0,0.25,1.0
44,4.0,0.25,0.5,0.0,0.0,0.0,0.25,1.0
45,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
46,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
47,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
48,3.0,0.3333333333333333,0.5773502691896258,0.0,0.0,0.0,0.5,1.0
49,6.0,0.3333333333333333,0.5163977794943223,0.0,0.0,0.0,0.75,1.0
50,4.0,0.5,0.5773502691896257,0.0,0.0,0.5,1.0,1.0
52,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
54,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
55,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
56,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
58,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
59,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,3.0,0.3333333333333333,0.5773502691896258,0.0,0.0,0.0,0.5,1.0
61,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
63,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
64,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
68,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
70,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
72,3.0,0.6666666666666666,0.5773502691896258,0.0,0.5,1.0,1.0,1.0
77,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
79,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
